filename,page,image_url,source,status,notes
3454.jpg,https://artsandculture.google.com/asset/space-contemplation-lee-suk-ju/lgFUOtICMLHnWg,https://lh3.googleusercontent.com/ci/AL18g_Tt0ywHDUZZ7DkEhC8LdLc2wyYT62sjMt38KJqKmsoaQSSPRO6ldgC2MPLO3kQj47mFs5Z_LA,og:image,ok,
13008.jpg,https://artsandculture.google.com/asset/d%C3%A9masqu%C3%A9e-akseli-gallen-kallela/fwE0w5T_rcybzA,https://lh3.googleusercontent.com/ci/AL18g_Txqw-LazbI_7s4emWWm1E2QALhTzcwpyqX-UpUt3uzeNoPeYWnrneDP6TzV008QmzUd-dKk0Q,og:image,ok,
2873.jpg,https://artsandculture.google.com/asset/foot-smells-suellen-rocca/2QFlKVHSDpwx2w,https://lh3.googleusercontent.com/ci/AL18g_Q1OLYJvkjwJZEUtWiO2pOF7RPUk-rXR1JHVmV7xt-QEODfld4GH64K5onsnd9QxxhUoCtLLA,og:image,ok,
12740.jpg,https://artsandculture.google.com/asset/the-potato-eaters-vincent-van-gogh/7gFcKarE9QeaXw,https://lh3.googleusercontent.com/ci/AL18g_SGanNjVg6n5r0PBslwfANv3oGORn2LVRXU2LR9Ul1GL1gS1DuYpqUmfRhf-v29RsiL-7a41ws,og:image,ok,
1646.jpg,https://artsandculture.google.com/asset/tr%C3%ADptico-%E2%80%9Ccavalhadas-em-sorocaba-1830-alc%C3%A2ncia-das-canas-desfile-de-crist%C3%A3o-e-mouros-argolinha%E2%80%9D-alfredo-norfini/LQErOSkEF3b9lQ,https://lh3.googleusercontent.com/ci/AL18g_Sv8BviYaq3wziyqpYWyw6mrzmN2CGHTNrNPrsITe7gTyEua3LS445Z71JKFr_HEDyTjgfeSOg,og:image,ok,
5836.jpg,https://artsandculture.google.com/asset/patch-of-grass-vincent-van-gogh/TAH9aKG-J5sfWA,https://lh3.googleusercontent.com/ci/AL18g_Q30jm4sKofhrDZZ1vULz6WQgkJ3RE3obvmXUkGEGEOCzmvZlUdp2RfvMh70qHrLC18mm39Q8Bu,og:image,ok,
12149.jpg,https://artsandculture.google.com/asset/portrait-de-fran%C3%A7ois-ier-1494-1547-roi-de-france/8QEEIPFzZ8g64Q,https://lh3.googleusercontent.com/ci/AL18g_TH1m9Yj3Bq8YuEkb0kdzY0pyqbVBStS4KYDDNIb91wMd8yer9PVxq9TYKNnIkbhqtKvU97-Hs,og:image,ok,
2628.jpg,https://artsandculture.google.com/asset/the-little-maure-mountains-henri-edmond-cross/_wHb632xk0Hu3w,https://lh3.googleusercontent.com/ci/AL18g_Qgpin9yuO-XzXjWNe5orriRd5w-sR-Z4Xf9vWMT4Ib_F0RQY0upVkuoPcmBtgflvWdrpiYzT8,og:image,ok,
13631.jpg,https://artsandculture.google.com/asset/la-matin%C3%A9e-angoissante-giorgio-de-chirico/mAFtK1XvpLX_Bg,https://lh3.googleusercontent.com/ci/AL18g_TZZapEWokoeqhapDs4WCpoXFZW6RyoXGO8-Rlo1s1gpgAKTCNDETLbWF9uK3O3L2RSH_YjkAc,og:image,ok,
437.jpg,https://artsandculture.google.com/asset/series-the-birth-of-olympism/dwFP9Ley12uvng,https://lh3.googleusercontent.com/ci/AL18g_TO6JD2MWlq35sNZxqm3lCFKbs81akZt3F2wdpLR53K1VvInnSrN_fYhhoHfhLG2_4TreyzlTY,og:image,ok,
13925.jpg,https://artsandculture.google.com/asset/attention-company-william-michael-harnett/QQG9Pzy9obBZ0g,https://lh3.googleusercontent.com/ci/AL18g_RUXwHrE8FqYIMdBwLImVcIZvQT2xjeNqkgSnN98daXLJuA45u4tsrav9UB4zMIEr7eY8GIhe8,og:image,ok,
10571.jpg,https://artsandculture.google.com/asset/scene-in-the-jewish-quarter-of-constantine-th%C3%A9odore-chass%C3%A9riau/4gF6e_zPz8oKaA,https://lh3.googleusercontent.com/ci/AL18g_Q6iWwVZKuoEumrvU_GON4mx6lcIwkF6X1HdORZl_HKojYAEihv7zzH98fUNi1F4PFrRKEq-OvF,og:image,ok,
