filename,page
2939.jpg,https://artsandculture.google.com/asset/scholar-in-his-study-yuli-blumberg/rwHqbrMCEVPB3Q
8158.jpg,https://artsandculture.google.com/asset/the-mass-of-saint-gregory-hans-baldung-german-1484-85-1545/PQGTlWsO5GCAGw
13093.jpg,https://artsandculture.google.com/asset/the-feast-of-herod-peter-paul-rubens/BQE7lubhCX9uyw
8615.jpg,https://artsandculture.google.com/asset/the-barman-david-azuz/dAEspig4vBXcsg
12521.jpg,https://artsandculture.google.com/asset/winter-1882-francesc-masriera/_wF5vvvl8qmqVg
16275.jpg,https://artsandculture.google.com/asset/portrait-of-heinrich-liebieg-eduard-charlemont/_wF0NugfZkeikA
11035.jpg,https://artsandculture.google.com/asset/the-alling-children-oliver-tarbell-eddy/JwH5kBlpDwKbBA
3119.jpg,https://artsandculture.google.com/asset/silvia-gertsch-cafe-afternoon-silvia-gertsch/8gFl4KyaVkmHPA
5878.jpg,https://artsandculture.google.com/asset/beach-at-east-hampton-childe-hassam/IgELHFFlgHpSXg
12210.jpg,https://artsandculture.google.com/asset/still-life-with-yellow-roses-emil-carlsen/RgHTTS4T8lAIWw
5932.jpg,https://artsandculture.google.com/asset/moonrise-soldier-and-maiden-ernst-ludwig-kirchner/OwHOtGDdKBVp3A
7695.jpg,https://artsandculture.google.com/asset/late-in-the-year-isabel-mclaughlin/gQFwsoYEJGkGYA
6828.jpg,https://artsandculture.google.com/asset/autoritratto-con-figure-amedeo-bocchi/1AEyd_nzGiiP_w
8353.jpg,https://artsandculture.google.com/asset/paracas-rojo-p%C3%A9rez-celis/RQH39uC98uazbw
8187.jpg,https://artsandculture.google.com/asset/l-incantation-ou-le-bois-sacr%C3%A9-paul-s%C3%A9rusier/ywGY5XuIRDH20Q
11966.jpg,https://artsandculture.google.com/asset/portrait-of-a-lady-anonymous-lombard-or-emilian-painter/KQEM0sJMoE336w
4473.jpg,https://artsandculture.google.com/asset/the-pier-towards-the-riva-degli-schiavoni-with-the-column-of-saint-mark-giovanni-antonio-canal-known-as-canaletto/OwHrlQS56a5IYg
9371.jpg,https://artsandculture.google.com/asset/the-departure-of-the-israelites/mQEQucXswJX0bw
13276.jpg,https://artsandculture.google.com/asset/allegory-of-louis-xiv-protector-of-the-arts-and-sciences-jean-garnier-and-claude-lefebvre/zgEDmmFPXtHWQQ
3055.jpg,https://artsandculture.google.com/asset/three-sisters-katya-medvedeva/twGsJaYX9JSihQ
13328.jpg,https://artsandculture.google.com/asset/in-the-troops-quarters-outside-paris-anton-von-werner/sgHs0ePrEKaoNQ
15092.jpg,https://artsandculture.google.com/asset/retrato-de-mart%C3%ADnez-monta%C3%B1%C3%A9s-portrait-of-mart%C3%ADnez-monta%C3%B1%C3%A9s-juan-cabr%C3%A9-aguil%C3%B3/-QH9Pgw_GW3tDQ
5569.jpg,https://artsandculture.google.com/asset/roses-vincent-van-gogh/UQGFh2ps12F5hw
